ID,Class/Subclass,Family,Accession
Lg_PRDHD20,PRD,N/A,XP_009057606
Lg_PRDHD21,PRD,N/A,XP_009064715
Lg_PRDHD22,PRD,N/A,XP_009052748
Lg_PRDHD23,PRD,N/A,XP_009052749
Lg_PRDHD24,PRD,N/A,XP_009049194
Lg_PRDHD25,PRD,N/A,XP_009054826
Lg_PRDHD26,PRD,N/A,XP_009056528
Lg_PRDHD27,PRD,N/A,XP_009057670
Lg_PRDHD28,PRD,N/A,XP_009061938
Lg_CdxA,ANTP/HOXL,Cdx,XP_009065930
Lg_CdxB,ANTP/HOXL,Cdx,XP_009065931
Lg_EvxA,ANTP/HOXL,Evx,XP_009055159
Lg_EvxB,ANTP/HOXL,Evx,XP_009055160
Lg_Gbx,ANTP/HOXL,Gbx,XP_009055779
Lg_Gsx,ANTP/HOXL,Gsx,XP_009065436
Lg_Lab,ANTP/HOXL,Hox1,XP_009046437
Lg_Pb,ANTP/HOXL,Hox2,XP_009046438
Lg_Hox3,ANTP/HOXL,Hox3,XP_009046439
Lg_Dfd,ANTP/HOXL,Hox4,XP_009046440
Lg_Scr,ANTP/HOXL,Hox5,XP_009046441
Lg_Antp,ANTP/HOXL,Hox6-8,XP_009046443
Lg_Lox5,ANTP/HOXL,Hox6-8,XP_009046442
Lg_Lox2,ANTP/HOXL,Hox6-8,XP_009046444
Lg_Lox4,ANTP/HOXL,Hox6-8,XP_009046445
Lg_Post1,ANTP/HOXL,Hox9-13(15),XP_009046450
Lg_Post2,ANTP/HOXL,Hox9-13(15),XP_009046447
Lg_HroxA,ANTP/HOXL,Meox,XP_009046514
Lg_HroxB,ANTP/HOXL,Meox,XP_009046518
Lg_Mnx,ANTP/HOXL,Mnx,XP_009046479
Lg_Xlox,ANTP/HOXL,Pdx,XP_009065435
Lg_Pbx,TALE,Pbx,XP_009044535
Lg_TALE2,TALE,N/A,XP_009046256
Lg_Tgif,TALE,Tgif,XP_009060953
Lg_Pknox,TALE,Pknox,XP_009049380
Lg_Meis,TALE,Meis,XP_009057308
Lg_IrxA,TALE,Irx,XP_009066395
Lg_IrxB,TALE,Irx,XP_009066396
Lg_IrxC,TALE,Irx,XP_009066397
Lg_IrxD,TALE,Irx,XP_009066404
Lg_TALE6,TALE,N/A,XP_009061306
Lg_TALEHD20,TALE,N/A,XP_009060936
Lg_TALEHD21,TALE,N/A,XP_009056454
Lg_TALEHD22,TALE,N/A,XP_009056455
Lg_TALEHD23,TALE,N/A,XP_009052319
Lg_TALEHD24,TALE,N/A,XP_009047063
Lg_Zfhx,ZF,Zfhx,XP_009066649
Lg_ZFHD20,ZF,N/A,XP_009066649
Lg_CersA,CERS,Cers,XP_009049507
Lg_CersB,CERS,Cers,XP_009049605
Lg_Hbx2,N/A,N/A,XP_009066313
Lg_OnecutA,CUT,Onecut,XP_009044329
Lg_OnecutB,CUT,Onecut,XP_009046903
Lg_CUT2A,CUT,N/A,XP_009053645
Lg_CUT2B,CUT,N/A,XP_009053644
Lg_CUT2C,CUT,N/A,XP_009064115
Lg_PRD3A,CUT,N/A,XP_009047569
Lg_PRD3B,CUT,N/A,XP_009047570
Lg_PRD3C,CUT,N/A,XP_009055673
Lg_PRD3D,CUT,N/A,XP_009055237
Lg_PRD3E,CUT,N/A,XP_009065407
Lg_PRD3F,CUT,N/A,XP_009060198
Lg_PRD3G,CUT,N/A,XP_009060199
Lg_PRD3H,CUT,N/A,XP_009060200
Lg_PRD3I,CUT,N/A,XP_009054229
Lg_PRD3J,CUT,N/A,XP_009066753
Lg_ProxA,PROS,Prox,XP_009066539
Lg_ProxB,PROS,Prox,XP_009066546
Lg_ProxC,PROS,Prox,XP_009066547
Lg_ProxD,PROS,Prox,XP_009063668
Lg_HD20,N/A,N/A,XP_009052309
Lg_HD21,N/A,N/A,XP_009048713
Lg_HD22,N/A,N/A,XP_009048714
Lg_HD23,N/A,N/A,XP_009059237
Lg_HD24,N/A,N/A,XP_009048328
Lg_HD25,N/A,N/A,XP_009066461
Lg_Islet,LIM,Isl,XP_009054822
Lg_Lmx,LIM,Lmx,XP_009044949
Lg_Lhx3/4,LIM,Lhx3/4,XP_009044328
Lg_Lhx1/5,LIM,Lhx1/5,XP_009047809
Lg_Lhx2/9,LIM,Lhx2/9,XP_009044421
Lg_Awh,LIM,Lhx6/8,XP_009062879
Lg_LIMHD20A,LIM,N/A,XP_009066649
Lg_LIMHD20B,LIM,N/A,XP_009065138
Lg_LIMHD20C,LIM,N/A,XP_009045424
Lg_LIMHD21,LIM,N/A,XP_009066649
Lg_LIMHD22,LIM,N/A,XP_009061576
Lg_Pou3,POU,Pou3,XP_009060345
Lg_Pou2,POU,Pou2,XP_009055261
Lg_Pou4,POU,Pou4,XP_009059806
Lg_Pou6,POU,Pou6,XP_009061303
Lg_Six3/6,SINE,Six3/6,
Lg_Six4/5,SINE,Six4/5,XP_009052787
Lg_SINEHD20,SINE,N/A,XP_009063131
