ID,Class/Subclass,Family,Accession
Ct_GscB,PRD,Gsc,ELT94535
Ct_Pitx,PRD,Pitx,ELT97498
Ct_PRD8,PRD,N/A,ELU09890
Ct_PRD7,PRD,N/A,ELU18822
Ct_Prxx,PRD,Prrx,ELU00842
Ct_Pax3/7,PRD,Pax3/7,ELT91996
Ct_Pax6A,PRD,Pax4/6,ELU00996
Ct_Pax6B,PRD,Pax4/6,ELU05119
Ct_Drgx,PRD,Drgx,ELU18784
Ct_Prop,PRD,Prop,ELT90234
Ct_PRD1,PRD,N/A,ELT92998
Ct_Rax,PRD,Rax,ELT92256
Ct_Shox,PRD,Shox,ELU02974
Ct_Repo,PRD,Repo,ELT93746
Ct_PRDHD20,PRD,N/A,ELU07595
Ct_PRDHD21,PRD,N/A,ELU05130
Ct_PRDHD22,PRD,N/A,ELT94188
Ct_PRDHD23,PRD,N/A,ELT87482
Ct_PRDHD24,PRD,N/A,ELU03000
Ct_PRDHD25,PRD,N/A,ELT90003
Ct_PRDHD26,PRD,N/A,ELT97429
Ct_Cdx,ANTP/HOXL,Cdx,ELT98643
Ct_EvxA,ANTP/HOXL,Evx,ELU06495
Ct_EvxB,ANTP/HOXL,Evx,ELU06494
Ct_Gbx,ANTP/HOXL,Gbx,ELU01908
Ct_Gsx,ANTP/HOXL,Gsx,ELT90777
Ct_Lab,ANTP/HOXL,Hox1,ELT91875
Ct_Pb,ANTP/HOXL,Hox2,ELT91876
Ct_Hox3,ANTP/HOXL,Hox3,ELT91878
Ct_Dfd,ANTP/HOXL,Hox4,ELT91880
Ct_Scr,ANTP/HOXL,Hox5,ELT91881
Ct_Antp,ANTP/HOXL,Hox6-8,ELT91883
Ct_Lox5,ANTP/HOXL,Hox6-8,ELT91882
Ct_Lox2,ANTP/HOXL,Hox6-8,ELU05026
Ct_Lox4,ANTP/HOXL,Hox6-8,ELT91884
Ct_Post1,ANTP/HOXL,Hox9-13(15),ELU03141
Ct_Post2,ANTP/HOXL,Hox9-13(15),ELU05027
Ct_Hrox,ANTP/HOXL,Meox,ELU03930
Ct_Mnx,ANTP/HOXL,Mnx,ELU08079
Ct_XloxA,ANTP/HOXL,Pdx,ELU15188
Ct_XloxB,ANTP/HOXL,Pdx,ELT98646
Ct_HOXLHD20,ANTP/HOXL,N/A,ELU11908
Ct_PbxA,TALE,Pbx,ELT92609
Ct_PbxB,TALE,Pbx,ELT89860
Ct_TALE2,TALE,N/A,ELU07975
Ct_TgifA,TALE,Tgif,ELU04462
Ct_TgifB,TALE,Tgif,ELU11429
Ct_Pknox,TALE,Pknox,ELU05786
Ct_Meis,TALE,Meis,ELT94055
Ct_IrxA,TALE,Irx,ELU00106
Ct_IrxB,TALE,Irx,ELU00101
Ct_IrxC,TALE,Irx,ELU00107
Ct_IrxD,TALE,Irx,ELU17298
Ct_TALE6A,TALE,N/A,ELU09739
Ct_TALE6B,TALE,N/A,ELU18119
Ct_TALE6C,TALE,N/A,ELT89555
Ct_TALE6D,TALE,N/A,ELT91183
Ct_TALEHD20,TALE,N/A,ELU07888
Ct_TALEHD21,TALE,N/A,ELT98932
Ct_TALEHD22,TALE,N/A,ELU08447
Ct_TALEHD23,TALE,N/A,ELU08448
Ct_TALEHD24,TALE,N/A,ELU09817
Ct_TALEHD25,TALE,N/A,ELT93816
Ct_TALEHD26,TALE,N/A,ELT96819
Ct_TALEHD27,TALE,N/A,ELU17398
Ct_TALEHD28,TALE,N/A,ELU05932
Ct_TALEHD29,TALE,N/A,ELT94007
Ct_TALEHD30,TALE,N/A,ELU04045
Ct_TALEHD31,TALE,N/A,ELT97536
Ct_TALEHD32,TALE,N/A,ELU07493
Ct_TALEHD33,TALE,N/A,
Ct_TALEHD34,TALE,N/A,ELU05247
Ct_TALEHD35,TALE,N/A,ELT95263
Ct_TALEHD36,TALE,N/A,ELU11692
Ct_TALEHD37,TALE,N/A,ELU18157
Ct_TALEHD38,TALE,N/A,ELU02094
Ct_TALEHD39,TALE,N/A,ELT88766
Ct_Hopx,ZF,Hopx,ELT99588
Ct_Zfhx,ZF,Zfhx,
Ct_ZFHD20,ZF,N/A,
Ct_CersA,CERS,Cers,ELT93326
Ct_CersB,CERS,Cers,ELT87375
Ct_Hbx2A,N/A,N/A,ELT93182
Ct_Hbx2B,N/A,N/A,ELU16663
Ct_Onecut,CUT,Onecut,ELU16386
Ct_PRD3A,CUT,N/A,ELT95654
Ct_PRD3B,CUT,N/A,ELT97557
Ct_ProxA,PROS,Prox,ELU16334
Ct_ProxB,PROS,Prox,ELU00705
Ct_ProxC,PROS,Prox,ELU12308
Ct_HD20,N/A,N/A,ELT96819
Ct_HD21,N/A,N/A,ELU13673
Ct_HD22,N/A,N/A,ELT99333
Ct_HD23,N/A,N/A,ELU03645
Ct_HD24,N/A,N/A,ELT95759
Ct_HD25,N/A,N/A,ELU07726
Ct_Iselt,LIM,Isl,ELT92649
Ct_LmxA,LIM,Lmx,ELT95961
Ct_LmxB,LIM,Lmx,ELT95963
Ct_Lhx3/4,LIM,Lhx3/4,ELU05149
Ct_Lhx1/5,LIM,Lhx1/5,ELU00131
Ct_Lhx2/9A,LIM,Lhx2/9,ELT97041
Ct_Lhx2/9B,LIM,Lhx2/9,ELT97042
Ct_AwhA,LIM,Lhx6/8,ELU00386
Ct_AwhB,LIM,Lhx6/8,ELU00387
Ct_AwhC,LIM,Lhx6/8,ELU00843
Ct_LIMHD20,LIM,N/A,
Ct_LIMHD21,LIM,N/A,
Ct_LIMHD22,LIM,N/A,ELU00130
Ct_Pou3,POU,Pou3,ELU03597
Ct_Pou2,POU,Pou2,ELU09478
Ct_Pou4,POU,Pou4,ELT93355
Ct_Pou6,POU,Pou6,ELU13951
Ct_POUHD20,POU,N/A,ELT90027
Ct_Six3/6A,SINE,Six3/6,ELU17224
Ct_Six3/6B,SINE,Six3/6,ELU17225
Ct_Six3/6C,SINE,Six3/6,ELU17226
Ct_Six1/2,SINE,Six1/2,ELU17231
Ct_Six4/5A,SINE,Six4/5,ELU09790
Ct_Six4/5B,SINE,Six4/5,ELT94068
