Definition,ID,Class/Subclass,Family,Accession
Hr_153780,Noto,ANTP/NKL,Noto,XP_009020544
Hr_127402,EnA,ANTP/NKL,En,XP_009017250
Hr_150820,EnB,ANTP/NKL,En,XP_009029003
Hr_67164,Nk1A,ANTP/NKL,Nk1,XP_009022539
Hr_69095,Nk1B,ANTP/NKL,Nk1,XP_009027254
Hr_127374,Nk1C,ANTP/NKL,Nk1,XP_009023513
Hr_127834,Nk1D,ANTP/NKL,Nk1,XP_009027270
Hr_148114,Nk7,ANTP/NKL,Nk7,XP_009008929
Hr_90126,Hbn,ANTP/NKL,Hbn,XP_009029893
Hr_69065,NKLHD20,ANTP/NKL,N/A,XP_009027249
Hr_74887,NKLHD21,ANTP/NKL,N/A,XP_009013388
Hr_84858,NKLHD22,ANTP/NKL,N/A,XP_009023713
Hr_128318,NKLHD23,ANTP/NKL,N/A,XP_009013692
Hr_138241,NKLHD24,ANTP/NKL,N/A,XP_009015668
Hr_138306,NKLHD25,ANTP/NKL,N/A,XP_009029498
Hr_138579,NKLHD26,ANTP/NKL,N/A,XP_009023594
Hr_148518,NKLHD27,ANTP/NKL,N/A,XP_009020518
Hr_153710,NKLHD28,ANTP/NKL,N/A,XP_009009895
Hr_164234,NKLHD29,ANTP/NKL,N/A,XP_009027476
Hr_174933,NKLHD30,ANTP/NKL,N/A,XP_009020614
Hr_82499,ArxA,PRD,Arx,XP_009020924
Hr_148448,ArxB,PRD,Arx,XP_009014784
Hr_88135,VsxA,PRD,Vsx,XP_009028012
Hr_152744,VsxB,PRD,Vsx,XP_009028486
Hr_127315,Uncx,PRD,Uncx,XP_009018541
Hr_67489,OtpA,PRD,Otp,XP_009022578
Hr_102846,OtpB,PRD,Otp,XP_009026919
Hr_162077,OtpC,PRD,Otp,XP_009022641
Hr_70729,OtxA,PRD,Otx,XP_009031160
Hr_75373,OtxB,PRD,Otx,XP_009013904
Hr_128268,OtxC,PRD,Otx,XP_009025285
Hr_148568,Dmbx,PRD,Dmbx,XP_009021186
Hr_112977,Pitx,PRD,Pitx,XP_009021003
Hr_88034,PRD7,PRD,N/A,XP_009027998
Hr_67090,PrxxA,PRD,Prrx,XP_009022523
Hr_72062,PrxxB,PRD,Prrx,XP_009011370
Hr_92410,Pax3/7A,PRD,Pax3/7,XP_009014851
Hr_185509,Pax3/7B,PRD,Pax3/7,XP_009016535
Hr_80374,Pax6A,PRD,Pax4/6,XP_009018609
Hr_173449,Pax6B,PRD,Pax4/6,XP_009018305
Hr_145540,Drgx,PRD,Drgx,XP_009016732
Hr_78081,PropA,PRD,Prop,XP_009016960
Hr_148480,PropB,PRD,Prop,XP_009012693
Hr_92991,Rax,PRD,Rax,XP_009015158
Hr_67518,ShoxA,PRD,Shox,XP_009022583
Hr_148578,ShoxB,PRD,Shox,XP_009025702
Hr_66919,PRDHD20,PRD,N/A,XP_009022492
Hr_70544,PRDHD21,PRD,N/A,XP_009030148
Hr_127812,PRDHD22,PRD,N/A,XP_009021856
Hr_127841,PRDHD23,PRD,N/A,XP_009018450
Hr_127918,PRDHD24,PRD,N/A,XP_009018449
Hr_128720,PRDHD25,PRD,N/A,XP_009020138
Hr_147665,PRDHD26,PRD,N/A,XP_009015166
Hr_181890,PRDHD27,PRD,N/A,XP_009029917
Hr_86432,CdxA,ANTP/HOXL,Cdx,XP_009026165
Hr_91177,CdxB,ANTP/HOXL,Cdx,XP_009031929
Hr_91189,CdxC,ANTP/HOXL,Cdx,XP_009031923
Hr_91790,CdxD,ANTP/HOXL,Cdx,XP_009011456
Hr_92220,CdxE,ANTP/HOXL,Cdx,XP_009012208
Hr_92635,CdxF,ANTP/HOXL,Cdx,XP_009021374
Hr_92666,CdxG,ANTP/HOXL,Cdx,XP_009022002
Hr_92822,CdxH,ANTP/HOXL,Cdx,XP_009027992
Hr_92823,CdxI,ANTP/HOXL,Cdx,XP_009027991
Hr_127695,CdxJ,ANTP/HOXL,Cdx,XP_009011455
Hr_127698,CdxK,ANTP/HOXL,Cdx,XP_009026286
Hr_127706,CdxL,ANTP/HOXL,Cdx,XP_009026276
Hr_127983,CdxM,ANTP/HOXL,Cdx,XP_009026272
Hr_128305,CdxN,ANTP/HOXL,Cdx,XP_009026283
Hr_128744,CdxO,ANTP/HOXL,Cdx,XP_009022289
Hr_141667,CdxP,ANTP/HOXL,Cdx,XP_009028512
Hr_147207,CdxQ,ANTP/HOXL,Cdx,XP_009027948
Hr_148126,CdxR,ANTP/HOXL,Cdx,XP_009020523
Hr_148585,CdxS,ANTP/HOXL,Cdx,XP_009028515
Hr_148587,CdxT,ANTP/HOXL,Cdx,XP_009020524
Hr_148593,CdxU,ANTP/HOXL,Cdx,XP_009018951
Hr_148606,CdxV,ANTP/HOXL,Cdx,XP_009011436
Hr_148611,CdxW,ANTP/HOXL,Cdx,XP_009012213
Hr_153647,CdxX,ANTP/HOXL,Cdx,XP_009020685
Hr_153650,CdxY,ANTP/HOXL,Cdx,XP_009026282
Hr_153685,CdxZ,ANTP/HOXL,Cdx,XP_009020522
Hr_165623,CdxAA,ANTP/HOXL,Cdx,XP_009030405
Hr_179196A,CdxAB,ANTP/HOXL,Cdx,XP_009026279
Hr_179196B,CdxAC,ANTP/HOXL,Cdx,XP_009026279
Hr_77445,EvxA,ANTP/HOXL,Evx,XP_009016217
Hr_109728,EvxB,ANTP/HOXL,Evx,XP_009012623
Hr_128675,EvxC,ANTP/HOXL,Evx,XP_009012157
Hr_74571,Gbx,ANTP/HOXL,Gbx,XP_009012781
Hr_78875,GsxA,ANTP/HOXL,Gsx,XP_009017375
Hr_98619,GsxB,ANTP/HOXL,Gsx,XP_009014600
Hr_147601,GsxC,ANTP/HOXL,Gsx,XP_009026424
Hr_76525,LabA,ANTP/HOXL,Hox1,XP_009014546
Hr_127632,LabB,ANTP/HOXL,Hox1,XP_009031655
Hr_91666,DfdA,ANTP/HOXL,Hox4,XP_009010734
Hr_76537,DfdB,ANTP/HOXL,Hox4,XP_009014545
Hr_90841,ScrA,ANTP/HOXL,Hox5,XP_009031656
Hr_126217,ScrB,ANTP/HOXL,Hox5,XP_009016881
Hr_88194,ScrC,ANTP/HOXL,Hox5,XP_009028108
Hr_92485,ScrD,ANTP/HOXL,Hox5,XP_009017402
Hr_148863,ScrE,ANTP/HOXL,Hox5,XP_009013201
Hr_88235,Antp,ANTP/HOXL,Hox6-8,XP_009028115
Hr_116524,Lox5,ANTP/HOXL,Hox6-8,XP_009031657
Hr_78362,Lox2,ANTP/HOXL,Hox6-8,XP_009016883
Hr_183449,Lox4A,ANTP/HOXL,Hox6-8,XP_009010732
Hr_76830,Lox4B,ANTP/HOXL,Hox6-8,XP_009014543
Hr_110662,Post2,ANTP/HOXL,Hox9-13(15),XP_009014541
Hr_91488,PostA,ANTP/HOXL,Hox9-13(15),XP_009010570
Hr_127763,PostB,ANTP/HOXL,Hox9-13(15),XP_009012607
Hr_83255,Hrox,ANTP/HOXL,Meox,XP_009021609
Hr_147264,Mnx,ANTP/HOXL,Mnx,XP_009020151
Hr_100536,Xlox,ANTP/HOXL,Pdx,XP_009020396
Hr_85620,HOXLHD20,ANTP/HOXL,N/A,XP_009024621
Hr_85680,HOXLHD21,ANTP/HOXL,N/A,XP_009024629
Hr_146797,HOXLHD22,ANTP/HOXL,N/A,XP_009031369
Hr_73759,PbxA,TALE,Pbx,XP_009012551
Hr_87471,PbxB,TALE,Pbx,XP_009026964
Hr_185992,PbxC,TALE,Pbx,XP_009026648
Hr_195013,PbxD,TALE,Pbx,XP_009012136
Hr_148509,TALE2,TALE,N/A,XP_009017435
Hr_63009,PknoxA,TALE,Pknox,XP_009008715
Hr_148447,PknoxB,TALE,Pknox,XP_009031754
Hr_74370,IrxA,TALE,Irx,XP_009012751
Hr_127612,IrxB,TALE,Irx,XP_009020554
Hr_127856,IrxC,TALE,Irx,XP_009028615
Hr_137744,IrxD,TALE,Irx,XP_009013842
Hr_138488,IrxE,TALE,Irx,XP_009031481
Hr_147266,IrxF,TALE,Irx,XP_009015931
Hr_153600,IrxG,TALE,Irx,XP_009031480
Hr_153627,IrxH,TALE,Irx,XP_009030616
Hr_67319,TALE6A,TALE,N/A,XP_009022558
Hr_162815,TALE6B,TALE,N/A,XP_009023159
Hr_84083,TALEHD20,TALE,N/A,XP_009022245
Hr_128632,TALEHD21,TALE,N/A,XP_009027029
Hr_138315,TALEHD22,TALE,N/A,XP_009027606
Hr_138317,TALEHD23,TALE,N/A,XP_009017367
Hr_138328,TALEHD24,TALE,N/A,XP_009020948
Hr_148336,TALEHD25,TALE,N/A,XP_009020946
Hr_148340,TALEHD26,TALE,N/A,XP_009026985
Hr_148497,TALEHD27,TALE,N/A,XP_009026986
Hr_148499,TALEHD28,TALE,N/A,XP_009027043
Hr_148502,TALEHD29,TALE,N/A,XP_009020959
Hr_148505,TALEHD30,TALE,N/A,XP_009027037
Hr_148511,TALEHD31,TALE,N/A,XP_009027038
Hr_155469,TALEHD32,TALE,N/A,XP_009032038
Hr_164412,TALEHD33,TALE,N/A,XP_009027605
Hr_164414,TALEHD34,TALE,N/A,XP_009027608
Hr_171177,TALEHD35,TALE,N/A,XP_009016170
Hr_172433,TALEHD36,TALE,N/A,XP_009017340
Hr_172434,TALEHD37,TALE,N/A,XP_009017341
Hr_172439,TALEHD38,TALE,N/A,XP_009017346
Hr_172462,TALEHD39,TALE,N/A,XP_009017368
Hr_85548,ZF,ZF,N/A,XP_009024471
Hr_138586,Zfhx,ZF,Zfhx,XP_009031711
Hr_101329,ZFHD20A,ZF,N/A,XP_009021871
Hr_148597,ZFHD20B,ZF,N/A,XP_009031709
Hr_82517,Cers,CERS,Cers,XP_009021073
Hr_161468,Hbx2,N/A,N/A,XP_009019633
Hr_165862,Cmp2,CUT,Cmp,XP_009030588
Hr_168579,Cmp1,CUT,Cmp,XP_009012667
Hr_127971,Cux,CUT,Cux,XP_009009409
Hr_65724,OnecutA,CUT,Onecut,XP_009019994
Hr_131179,OnecutB,CUT,Onecut,XP_009014411
Hr_134261,OnecutC,CUT,Onecut,XP_009009739
Hr_142791,OnecutD,CUT,Onecut,XP_009020415
Hr_146354,OnecutE,CUT,Onecut,XP_009015043
Hr_151232,OnecutF,CUT,Onecut,XP_009013819
Hr_79761,ProxA,PROS,Prox,XP_009018226
Hr_92637,ProxB,PROS,Prox,XP_009021377
Hr_127967,ProxC,PROS,Prox,XP_009009288
Hr_178467,ProxD,PROS,Prox,XP_009024811
Hr_178473,ProxE,PROS,Prox,XP_009024817
Hr_178474,ProxF,PROS,Prox,XP_009024818
Hr_178476,ProxG,PROS,Prox,XP_009024820
Hr_178482,ProxH,PROS,Prox,XP_009024825
Hr_110458,HD20,N/A,N/A,XP_009014106
Hr_123773,HD21,N/A,N/A,XP_009028783
Hr_138036,HD22,N/A,N/A,XP_009015078
Hr_153356,HD23,N/A,N/A,XP_009030846
Hr_153367,HD24,N/A,N/A,XP_009024537
Hr_153372,HD25,N/A,N/A,XP_009010264
Hr_153373,HD26,N/A,N/A,XP_009030161
Hr_153374,HD27,N/A,N/A,XP_009030159
Hr_153375,HD28,N/A,N/A,XP_009024523
Hr_153376,HD29,N/A,N/A,XP_009009208
Hr_153786,HD30,N/A,N/A,XP_009020421
Hr_156455,HD31,N/A,N/A,XP_009012489
Hr_166133,HD32,N/A,N/A,XP_009031401
Hr_184277A,HD33,N/A,N/A,XP_009018394
Hr_184277B,HD34,N/A,N/A,XP_009018394
Hr_186595,HD35,N/A,N/A,XP_009030401
Hr_62537,IsletA,LIM,Isl,XP_009009572
Hr_64295,IsletB,LIM,Isl,XP_009015578
Hr_88718,IsletC,LIM,Isl,XP_009028432
Hr_90647,IsletD,LIM,Isl,XP_009030915
Hr_106340,IsletE,LIM,Isl,XP_009019255
Hr_141779,IsletF,LIM,Isl,XP_009020654
Hr_188500,IsletG,LIM,Isl,XP_009019254
Hr_113693,LmxA,LIM,Lmx,XP_009022367
Hr_145961,LmxB,LIM,Lmx,XP_009011059
Hr_70815,Lhx3/4,LIM,Lhx3/4,XP_009031173
Hr_67495,Lhx1/5A,LIM,Lhx1/5,XP_009022580
Hr_70524,Lhx1/5B,LIM,Lhx1/5,XP_009030145
Hr_82362,Lhx1/5C,LIM,Lhx1/5,XP_009020795
Hr_73313,Lhx2/9A,LIM,Lhx2/9,XP_009011957
Hr_150188,Lhx2/9B,LIM,Lhx2/9,XP_009011858
Hr_92165,Awh,LIM,Lhx6/8,XP_009012167
Hr_125426,LIMHD20,LIM,N/A,XP_009031710
Hr_148596,LIMHD21,LIM,N/A,XP_009031708
Hr_94258,LIMHD22,LIM,N/A,XP_009019217
Hr_66777,Pou3A,POU,Pou3,XP_009022470
Hr_77720,Pou3B,POU,Pou3,XP_009016476
Hr_138303,Pou3C,POU,Pou3,XP_009010896
Hr_142779,Pou3D,POU,Pou3,XP_009022709
Hr_135367,Pou2A,POU,Pou2,XP_009022971
Hr_135368,Pou2B,POU,Pou2,XP_009022968
Hr_136099,Pou2C,POU,Pou2,XP_009014951
Hr_188329,Pou2D,POU,Pou2,XP_009015695
Hr_66135,Pou4A,POU,Pou4,XP_009019393
Hr_89499,Pou4B,POU,Pou4,XP_009029470
Hr_82279,Pou6A,POU,Pou6,XP_009020871
Hr_189421,Pou6B,POU,Pou6,XP_009027584
Hr_152344,POUHD20,POU,N/A,XP_009029864
Hr_181629,Six3/6,SINE,Six3/6,XP_009029660
Hr_72129,Six1/2A,SINE,Six1/2,XP_009011011
Hr_76318,Six1/2B,SINE,Six1/2,XP_009014641
Hr_88222,Six1/2C,SINE,Six1/2,XP_009028113
Hr_124011,Six1/2D,SINE,Six1/2,XP_009010766
Hr_92182,Six4/5A,SINE,Six4/5,XP_009012183
Hr_128747,Six4/5B,SINE,Six4/5,XP_009012166
Hr_142999,Six4/5C,SINE,Six4/5,XP_009019636
Hr_143898,Six4/5D,SINE,Six4/5,XP_009011682
Hr_183929,Six4/5E,SINE,Six4/5,XP_009012182
Hr_89655,SINEHD20,SINE,N/A,XP_009029543
